name,value,group,weight
land_surf_obs_200_450,249.85,land_surface,0.435489
land_surf_obs_200_500,185.16,land_surface,0.435489
land_surf_obs_200_550,88.72,land_surface,0.435489
land_surf_obs_250_150,413.3,land_surface,0.435489
land_surf_obs_250_200,385.37,land_surface,0.435489
land_surf_obs_250_250,380.24,land_surface,0.435489
land_surf_obs_250_300,372.74,land_surface,0.435489
land_surf_obs_250_350,328.34,land_surface,0.435489
land_surf_obs_250_400,330.4,land_surface,0.435489
land_surf_obs_250_450,376.69,land_surface,0.435489
land_surf_obs_250_500,179.75,land_surface,0.435489
land_surf_obs_250_550,295.94,land_surface,0.435489
land_surf_obs_250_600,673.96,land_surface,0.435489
land_surf_obs_300_200,399.82,land_surface,0.435489
land_surf_obs_300_250,328.46,land_surface,0.435489
land_surf_obs_300_300,352.8,land_surface,0.435489
land_surf_obs_300_350,368.36,land_surface,0.435489
land_surf_obs_300_400,356.77,land_surface,0.435489
land_surf_obs_300_450,363.14,land_surface,0.435489
land_surf_obs_300_500,114.39,land_surface,0.435489
land_surf_obs_300_550,472.93,land_surface,0.435489
land_surf_obs_300_600,641.18,land_surface,0.435489
land_surf_obs_350_200,356.69,land_surface,0.435489
land_surf_obs_350_250,412.3,land_surface,0.435489
land_surf_obs_350_300,374.01,land_surface,0.435489
land_surf_obs_350_350,263.68,land_surface,0.435489
land_surf_obs_350_400,347.18,land_surface,0.435489
land_surf_obs_350_450,244.52,land_surface,0.435489
land_surf_obs_350_500,120.3,land_surface,0.435489
land_surf_obs_400_200,392.25,land_surface,0.435489
land_surf_obs_400_250,445.15,land_surface,0.435489
land_surf_obs_400_300,454.52,land_surface,0.435489
land_surf_obs_400_350,447.7,land_surface,0.435489
land_surf_obs_400_400,456.11,land_surface,0.435489
land_surf_obs_400_450,374.71,land_surface,0.435489
land_surf_obs_400_500,142.9,land_surface,0.435489
land_surf_obs_450_250,407.91,land_surface,0.435489
land_surf_obs_450_300,471.5,land_surface,0.435489
land_surf_obs_450_350,459.04,land_surface,0.435489
land_surf_obs_450_400,364.24,land_surface,0.435489
land_surf_obs_450_450,305.07,land_surface,0.435489
land_surf_obs_450_500,230.21,land_surface,0.435489
land_surf_obs_500_300,460.22,land_surface,0.435489
land_surf_obs_500_350,497.96,land_surface,0.435489
land_surf_obs_500_400,411.3,land_surface,0.435489
land_surf_obs_500_450,250.67,land_surface,0.435489
land_surf_obs_500_500,180.72,land_surface,0.435489
land_surf_obs_550_400,347.67,land_surface,0.435489
land_surf_obs_550_450,179.33,land_surface,0.435489
land_surf_obs_550_500,365.44,land_surface,0.435489
land_surf_obs_600_350,443.41,land_surface,0.435489
land_surf_obs_600_400,300.95,land_surface,0.435489
land_surf_obs_600_450,153.24,land_surface,0.435489
land_surf_obs_650_450,266.93,land_surface,0.435489
