iteration,total_runs,obs_realization,par_realization,flux,head,budget,land_surface
0,488,431,431,5053.4,54675.2,0,490839
0,488,432,432,4000.68,3557.03,0,15105.2
0,488,433,433,4459.37,5056.03,0,10089.7
0,488,434,434,17353.3,6485.51,0,15783.4
0,488,435,435,4015.68,4672.86,0,6527.79
0,488,436,436,985.614,2674.66,0,8413.98
0,488,437,437,24795,2820.39,0,5526.17
0,488,438,438,2768.65,2825.76,0,11057.6
0,488,439,439,7640.23,2647.27,0,8328.28
0,488,440,440,4242.35,2810.05,0,8723.14
0,488,441,441,6850.21,2981.95,0,4209.42
0,488,442,442,8259.1,2800.27,0,11797
0,488,443,443,4157.05,2708.49,0,10752.2
0,488,444,444,4413.36,3935.5,0,4704.34
0,488,445,445,2790.63,2811.42,0,9317.66
0,488,446,446,5407.04,3353.03,0,14000.6
0,488,447,447,5931.54,3380.32,0,14225.8
0,488,448,448,4674.6,2645.88,0,7213.42
0,488,449,449,4605.43,66665.6,0,558305
0,488,450,450,2071.38,2857.26,0,4360.75
0,488,452,452,8912.31,3121.01,0,13231.4
0,488,453,453,11458.1,2664.99,0,6885.14
0,488,454,454,6595.56,2704.4,0,6118
0,488,455,455,1922.1,6377.39,0,10149.2
0,488,457,457,4013.54,4623.5,0,6423.01
0,488,458,458,1621.99,2826.16,0,4981.48
0,488,459,459,6108.39,4512.22,0,6933.16
0,488,460,460,3713.99,2876.07,0,4797.66
0,488,461,461,12205.4,16328.7,0,65958
0,488,463,463,1295.64,2665.43,0,6816.72
0,488,464,464,1455.49,3177.61,0,13391.2
0,488,465,465,4615.42,2857.4,0,11731.7
0,488,466,466,1828.1,3532.49,0,11579.7
0,488,467,467,10415.3,2874.55,0,4687.89
0,488,468,468,8592.77,2675.74,0,10220.4
0,488,469,469,336.54,5210.13,0,7475.31
0,488,470,470,9738.54,2661.83,0,6870.65
0,488,471,471,2602.99,3205.2,0,13607
0,488,472,472,5620.63,2630.58,0,8746.81
0,488,473,473,6363.42,2727.41,0,11316.5
0,488,474,474,3363.41,2788.03,0,11192.1
0,488,475,475,3861.88,2783.88,0,4957.21
0,488,476,476,10808.7,3596.24,0,15423.9
0,488,477,477,4142.75,7429.1,0,44325.6
0,488,478,478,833.887,49995.9,0,401090
0,488,479,479,4539.5,2698.76,0,6526.45
0,488,480,480,2197.12,2820.39,0,8144.58
0,488,481,481,2365.68,3058.68,0,3851.07
0,488,483,483,2721.36,3254.26,0,9847.59
0,488,484,484,5742.6,2674.35,0,6487.14
0,488,485,485,4327.17,2666.52,0,6653.98
0,488,486,486,6381.2,3456.68,0,3292.69
0,488,487,487,4548.82,3047.74,0,4016.22
0,488,488,488,1405.05,3588.73,0,3976.59
0,488,489,489,873.433,2640.55,0,8035.05
0,488,490,490,9237.37,3183.38,0,3707.93
0,488,491,491,9651.78,3050.81,0,13193
0,488,492,492,450.853,15424.9,0,182889
0,488,493,493,3604.55,2895.74,0,4595.21
0,488,494,494,10782.3,3623.76,0,15222.9
0,488,495,495,7417.08,2629.01,0,8269.19
0,488,496,496,11423.3,2753.56,0,10681.2
0,488,497,497,2204.56,2644.25,0,7644.18
0,488,498,498,4556.93,2690.24,0,6553
0,488,base,base,3987.33,2658.22,0,6645.54
